time,frequency,confidence
0.000,253.996,0.117588
0.300,252.771,0.131860
0.600,250.017,0.578927
0.900,252.616,0.751540
1.200,236.322,0.877502
1.500,238.453,0.757453
1.800,233.884,0.659802
2.100,209.758,0.346115
2.400,236.337,0.687531
2.700,247.050,0.565790
3.000,270.123,0.842286
3.300,255.009,0.772969
3.600,247.974,0.137918
3.900,228.708,0.872422
4.200,229.189,0.340140
4.500,221.384,0.741003
4.800,209.658,0.698676
5.100,183.717,0.556063
5.400,173.087,0.466201
5.700,183.967,0.337372
6.000,193.711,0.222511
